List all boardgames by GMT.	resource	dbo:Game
Who developed Skype?	resource	dbo:Company
Which people were born in Heraklion?	resource	dbo:Person
In which U.S. state is Area 51 located?	resource	dbo:AdministrativeRegion
Who is the mayor of New York City?	resource	dbo:OfficeHolder
Which countries have places with more than two caves?	resource	dbo:Country
Where did Abraham Lincoln die?	resource	dbo:Location
Which airports does Air China serve?	resource	dbo:Airport
Give me all actors starring in movies directed by and starring William Shatner.	resource	dbo:Actor
What are the official languages of the Philippines?	resource	dbo:Language
Give me all Danish films.	resource	dbo:Film
Which movies starring Brad Pitt were directed by Guy Ritchie?	resource	dbo:Film
Give me the grandchildren of Bruce Lee.	number
Which other weapons did the designer of the Uzi develop?	resource	dbo:Weapon
Who is the owner of Universal Studios?	resource	dbo:Company
Which state of the USA has the highest population density?	resource	dbo:AdministrativeRegion
Which monarchs were married to a German?	resource	dbo:Monarch
Which organizations were founded in 1950?	resource	dbo:Organisation
Who created the comic Captain America?	resource	dbo:ComicsCreator
Give me the Apollo 14 astronauts.	resource	dbo:Astronaut
Who wrote the book The pillars of the Earth?	resource	dbo:Writer
Which state of the United States of America has the highest density?	resource	dbo:AdministrativeRegion
Which spaceflights were launched from Baikonur?	resource	dbo:SpaceStation
Give me a list of all trumpet players that were bandleaders.	resource	dbo:MusicalArtist
Which U.S. states are in the same timezone as Utah?	resource	dbo:AdministrativeRegion
Which U.S. states possess gold minerals?	resource	dbo:AdministrativeRegion
Who is the daughter of Ingrid Bergman married to?	string
How deep is Lake Placid?	number
Show me all museums in London.	resource	dbo:Museum
Which caves have more than 3 entrances?	resource	dbo:Cave
Who is the tallest player of the Atlanta Falcons?	resource	dbo:AmericanFootballPlayer
What are the top-10 action role-playing video games according to IGN?	resource	dbo:VideoGame
Give me all writers that won the Nobel Prize in literature.	resource	dbo:Writer
Show me all basketball players that are higher than 2 meters.	resource	dbo:BasketballPlayer
When was the Statue of Liberty built?	date
Which states border Illinois?	resource	dbo:AdministrativeRegion
Who developed Minecraft?	resource	dbo:Company
Where did Hillel Slovak die?	resource	dbo:City
What movies does Jesse Eisenberg play in?	resource	dbo:Film
Give all swimmers that were born in Moscow.	resource	dbo:Swimmer
Give me all cosmonauts.	resource	dbo:Astronaut
Give me all Swiss non-profit organizations.	resource	dbo:Organisation
Which presidents were born in 1945?	resource	dbo:President
What kind of music did Lou Reed play?	resource	dbo:MusicGenre
Where do the Red Sox play?	resource	dbo:Venue
Show a list of soccer clubs that play in the Bundesliga.	resource	dbo:SoccerClub
Which volcanos in Japan erupted since 2000?	resource	dbo:Volcano
Which bridges cross the Seine?	resource	dbo:Bridge
What is the official color of the University of Oxford?	string
How many films did Hal Roach produce?	number
